transaction_id,merchant_id,merchant_category,customer_id,amount,attempt_count,days_since_last_success,customer_tenure_months,debit_hour,status,failure_reason,created_at
TXN0001,M001,insurance,C0001,1874.55,0,14,9,12,successful,none,2026-01-01 11:00:00
TXN0002,M005,subscriptions,C0002,1508.99,0,1,6,6,failed,account_issue,2026-01-01 14:00:00
TXN0003,M005,subscriptions,C0003,1438.21,0,26,15,22,failed,bank_decline,2026-01-01 17:00:00
TXN0004,M001,insurance,C0004,1769.5,1,17,10,15,successful,none,2026-01-01 20:00:00
TXN0005,M003,rentals,C0005,304.44,0,22,23,8,successful,none,2026-01-01 23:00:00
TXN0006,M001,insurance,C0006,1377.67,3,5,36,17,successful,none,2026-01-02 02:00:00
TXN0007,M005,subscriptions,C0007,1477.19,2,2,43,7,successful,none,2026-01-02 05:00:00
TXN0008,M003,rentals,C0008,2149.87,0,24,18,8,successful,none,2026-01-02 08:00:00
TXN0009,M003,rentals,C0009,975.84,1,42,18,11,successful,none,2026-01-02 11:00:00
TXN0010,M001,insurance,C0010,1616.65,4,46,16,22,failed,bank_decline,2026-01-02 14:00:00
TXN0011,M003,rentals,C0011,611.47,4,53,4,15,failed,insufficient_funds,2026-01-02 17:00:00
TXN0012,M003,rentals,C0012,727.93,3,58,37,11,pending,bank_decline,2026-01-02 20:00:00
TXN0013,M002,school_fees,C0013,1037.43,3,9,17,19,failed,account_issue,2026-01-02 23:00:00
TXN0014,M005,subscriptions,C0014,715.83,4,57,38,18,failed,insufficient_funds,2026-01-03 02:00:00
TXN0015,M002,school_fees,C0015,1274.31,4,55,8,6,failed,insufficient_funds,2026-01-03 05:00:00
TXN0016,M004,medical,C0016,233.74,4,38,30,17,successful,none,2026-01-03 08:00:00
TXN0017,M005,subscriptions,C0017,1726.29,0,43,35,8,successful,none,2026-01-03 11:00:00
TXN0018,M003,rentals,C0018,790.27,0,29,1,10,pending,account_issue,2026-01-03 14:00:00
TXN0019,M003,rentals,C0019,1923.95,4,58,7,21,successful,none,2026-01-03 17:00:00
TXN0020,M003,rentals,C0020,1553.71,4,23,11,9,successful,none,2026-01-03 20:00:00
TXN0021,M005,subscriptions,C0021,1529.45,0,1,8,20,pending,bank_decline,2026-01-03 23:00:00
TXN0022,M002,school_fees,C0022,662.91,0,5,47,7,successful,none,2026-01-04 02:00:00
TXN0023,M001,insurance,C0023,1933.32,4,42,31,9,pending,insufficient_funds,2026-01-04 05:00:00
TXN0024,M003,rentals,C0024,2191.29,4,13,35,18,successful,none,2026-01-04 08:00:00
TXN0025,M002,school_fees,C0025,1045.56,2,28,34,16,successful,none,2026-01-04 11:00:00
TXN0026,M002,school_fees,C0026,234.94,1,37,36,5,failed,insufficient_funds,2026-01-04 14:00:00
TXN0027,M001,insurance,C0027,1792.98,0,14,5,6,pending,bank_decline,2026-01-04 17:00:00
TXN0028,M001,insurance,C0028,655.97,4,13,35,20,failed,account_issue,2026-01-04 20:00:00
TXN0029,M005,subscriptions,C0029,668.05,3,51,27,20,failed,insufficient_funds,2026-01-04 23:00:00
TXN0030,M004,medical,C0030,1105.06,2,55,47,19,failed,account_issue,2026-01-05 02:00:00
TXN0031,M001,insurance,C0031,1054.34,0,51,7,15,successful,none,2026-01-05 05:00:00
TXN0032,M002,school_fees,C0032,1165.64,4,11,18,18,successful,none,2026-01-05 08:00:00
